ons_id,party_name,firstname,surname,votes,share,change
E14000938,Labour,Declan,Lloyd,4692,0.092914571,0.022233151
E14000938,Green,Martin,Corney,2718,0.053823914,0.037176394
E14000938,Mebyon Kernow,Andrew,Long,1003,0.019862173,0.006943214
E14000938,Independent,George,Trubody,350,0.006930968,
E14000939,Conservative,John,Hayes,29303,0.595504705,0.004945208
E14000939,UK Independence Party,David,Parsons,10736,0.21818034,0.153503525
E14000939,Labour,Matthew,Mahabadi,6122,0.124413193,-0.015540581
E14000939,Green,Dan,Wilshire,1580,0.032109253,0.017683494
E14000939,Liberal Democrat,Jiri,Smid,1466,0.029792509,-0.1248062
E14000940,Conservative,Alberto,Costa,28700,0.532210807,0.037496917
E14000940,Labour,Amanda,Hack,11876,0.220227719,0.011495103
E14000940,UK Independence Party,Barry,Mahoney,9363,0.173626822,0.137201221
E14000940,Liberal Democrat,Geoffrey,Welsh,3987,0.073934651,-0.136337075
E14000941,Conservative,Richard,Bacon,30995,0.542601054,0.049210986
E14000941,Labour,Deborah,Sacks,10502,0.183848887,0.051977558
E14000941,UK Independence Party,Barry,Cameron,7847,0.137370236,0.095019392
E14000941,Liberal Democrat,Jacqueline,Howe,4689,0.082086025,-0.212369633
E14000941,Green,Catherine,Rowett,3090,0.054093798,0.035909665
E14000942,Conservative,Andrea,Leadsom,36607,0.601475469,0.049112804
E14000942,Labour,Lucy,Mills,10191,0.167444382,-0.005873367
E14000942,UK Independence Party,Roger,Clark,8204,0.134796753,0.094623102
E14000942,Liberal Democrat,Tom,Snowdon,3613,0.059363807,-0.151071992
E14000942,Green,Damon,Boughen,2247,0.036919589,0.025481953
E14000943,Conservative,Seema,Kennedy,24313,0.464254344,0.00959229
E14000943,Labour,Veronica,Bennett,18368,0.350735154,0.004005782
E14000943,UK Independence Party,David,Gallagher,7377,0.14086309,0.10403694
E14000943,Liberal Democrat,Sue,McGuire,2312,0.044147413,-0.097152288
E14000944,Labour,Emma,Lewell-Buck,18589,0.512587895,-0.00756655
E14000944,UK Independence Party,Norman,Dennis,7975,0.219909003,
E14000944,Conservative,Robert,Oliver,6021,0.166027851,-0.049920449
E14000944,Green,Shirley,Ford,1614,0.044505722,0.0236393
E14000944,Independent,Lisa,Nightingale,1427,0.039349235,
E14000944,Liberal Democrat,Gita,Gordon,639,0.017620295,-0.124474015
E14000945,Conservative,Gavin,Williamson,29478,0.594338481,0.062340067
E14000945,Labour,Kevin,McElduff,9107,0.183616275,-0.019476509
E14000945,UK Independence Party,Lyndon,Jones,8267,0.166680108,0.112100409
E14000945,Liberal Democrat,Robert,Woodthorpe Browne,1448,0.029194726,-0.13787506
E14000945,Green,Claire,McIlvenna,1298,0.02617041,
E14000946,Conservative,James,Cartlidge,27546,0.53067987,0.053202042
E14000946,Labour,Jane,Basham,10001,0.192671509,0.049369813
E14000946,UK Independence Party,Steven,Whalley,7897,0.152137477,0.081400741
E14000946,Liberal Democrat,Grace,Weaver,4044,0.077908567,-0.230575173
E14000946,Green,Robert,Lindsay,2253,0.04340455,
E14000946,Christian Peoples Alliance Party,Stephen,Todd,166,0.003198027,
E14000947,Conservative,Robert,Buckland,22777,0.462355114,0.044540645
E14000947,Labour,Anne,Snelgrove,16992,0.344924182,0.002323533
E14000947,UK Independence Party,John,Short,5920,0.120171325,0.07711014
E14000947,Liberal Democrat,Damon,Hooton,1817,0.036883665,-0.139372198
E14000947,Green,Talis,Kimberley-Fairbourn,1757,0.035665713,0.022528761
E14000948,Conservative,Craig,MacKinlay,18838,0.381328313,-0.098566316
E14000948,UK Independence Party,Nigel,Farage,16026,0.324406389,0.269347934
E14000948,Labour,Will,Scobie,11740,0.237647011,-0.076419129
E14000948,Green,Ian,Driver,1076,0.021780936,
E14000948,Liberal Democrat,Russell,Timpson,932,0.018866015,-0.132114761
E14000948,Independent,Al,Murray,318,0.006437117,
E14000948,Manston Airport Independent Party,Ruth,Bailey,191,0.003866318,
E14000948,We Are The Reality Party,Nigel,Askew,126,0.002550556,
